id,name,faction,health,armor,ore,plasma,buildTicks,supply,width,vision,requiredTech
0,Core,Lumina,1600,3,360,0,1200,12,4,11,-1
1,Beacon,Lumina,420,1,90,0,420,9,2,7,0
2,Drill Hall,Lumina,920,2,145,0,680,0,3,8,0
3,Archive,Lumina,720,1,170,100,820,0,3,9,2
4,Sentinel,Lumina,560,2,115,45,500,0,2,10,2
5,Extractor,Lumina,460,1,80,0,400,0,2,6,0
6,Nexus Pod,Verge,1450,2,330,0,1120,12,4,11,-1
7,Bloom,Verge,380,0,85,0,390,10,2,7,6
8,Hatchery,Verge,860,1,135,0,630,0,3,8,6
9,Gland,Verge,690,1,160,95,780,0,3,9,8
10,Thorn,Verge,520,1,105,40,460,0,2,10,8
11,Siphon,Verge,430,0,75,0,370,0,2,6,6
