id,name,faction,health,armor,damage,range,speedMilli,supply,ore,plasma,trainTicks,vision,attack,defense,airborne,worker,cooldownTicks,windupTicks,trainer,requiredTech
0,Engineer,Lumina,68,0,5,1,3300,1,55,0,240,7,Normal,Light,false,true,22,3,0,-1
1,Trooper,Lumina,104,1,13,5,3000,2,85,0,320,8,Normal,Light,false,false,18,3,2,-1
2,Lancer,Lumina,172,3,31,6,2500,3,135,65,460,8,Explosive,Heavy,false,false,32,6,2,3
3,Howitzer,Lumina,210,2,48,10,1700,4,175,115,620,9,Explosive,Heavy,false,false,56,12,2,3
4,Wisp,Lumina,86,0,7,4,5800,2,70,65,380,12,Normal,Light,true,false,16,2,3,-1
5,Tiller,Verge,62,0,6,1,3500,1,50,0,220,7,Normal,Light,false,true,20,3,6,-1
6,Render,Verge,118,1,16,1,4100,2,75,0,280,7,Piercing,Medium,false,false,17,3,8,-1
7,Spitter,Verge,94,0,19,5,2800,2,95,35,340,8,Normal,Light,false,false,25,4,8,-1
8,Swarmling,Verge,39,0,7,1,4600,1,30,0,210,6,Piercing,Light,false,false,14,2,8,-1
9,Wing,Verge,136,1,22,5,4700,3,110,90,450,10,Normal,Medium,true,false,26,4,9,-1
